date,symbol,sentiment_signal
2012-11-15,AAPL,10
2012-11-14,AAPL,3
2012-11-12,AAPL,-1
2012-11-11,AAPL,1
2012-11-10,AAPL,6
2012-11-09,AAPL,3
2012-11-08,AAPL,2
2012-11-07,AAPL,4
2012-11-06,AAPL,5
2012-11-05,AAPL,6
2012-11-04,AAPL,-1
2012-11-03,AAPL,1
2012-11-02,AAPL,6
2012-11-01,AAPL,-3
2012-10-31,AAPL,2
2012-10-30,AAPL,-1
2012-10-29,AAPL,4
2012-10-28,AAPL,-1
2012-10-27,AAPL,-3
2012-10-26,AAPL,-1
2012-10-25,AAPL,-3
2012-10-24,AAPL,-1
2012-10-23,AAPL,-3
2012-10-22,AAPL,-1
2012-10-21,AAPL,1
2012-10-20,AAPL,6
2012-10-19,AAPL,6
2012-10-18,AAPL,6
2012-10-17,AAPL,6
2012-10-16,AAPL,12
2012-10-15,AAPL,11
